"","Units","scenario","region","sector","subsector","PrimaryFuelCO2Coef.name","year","value","PrimaryFuelCO2Coef","fuel"
"118","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","wind","onshore wind resource",2095,0.0660906,0,"onshore wind resource"
"119","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","wind","onshore wind resource",2100,0.0666807,0,"onshore wind resource"
"120","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","biomass","regional biomass",2020,2.43028e-05,0,"biomass"
"121","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","biomass","regional biomass",2025,0.00012867835,0,"biomass"
"122","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","biomass","regional biomass",2030,0.00085815026,0,"biomass"
"123","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","biomass","regional biomass",2035,0.002935673746,0,"biomass"
"124","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","biomass","regional biomass",2040,0.003632379993,0,"biomass"
"125","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","biomass","regional biomass",2045,0.003313493486,0,"biomass"
"126","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","biomass","regional biomass",2050,0.002949772584,0,"biomass"
"127","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","biomass","regional biomass",2055,0.0025493158,0,"biomass"
"128","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","biomass","regional biomass",2060,0.00238804127,0,"biomass"
"129","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","biomass","regional biomass",2065,0.0020843438,0,"biomass"
"130","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","biomass","regional biomass",2070,0.00222210308,0,"biomass"
"131","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","biomass","regional biomass",2075,0.00216115766,0,"biomass"
"132","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","biomass","regional biomass",2080,0.00206439221,0,"biomass"
"133","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","biomass","regional biomass",2085,0.0019373039,0,"biomass"
"134","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","biomass","regional biomass",2090,0.00194680873,0,"biomass"
"135","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","biomass","regional biomass",2095,0.00207113047,0,"biomass"
"136","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","biomass","regional biomass",2100,0.00225012172,0,"biomass"
"137","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","coal","regional coal",2020,8.9139e-05,27.3,"coal"
