scenario,region,direct,transformation,enduse,ghg,Units,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,gas,electricity,iron and steel,CO2,MTCO2e,0.438271686,0.578508491,0.274395332,0.309629026,0.262897729,0.131684601,0.060957587,0.031367576,0.020024072,0.012299992,0.008541828,0.005972163,0.004008176,0.00282761,0.001842416,0.001267554,0.000870684,0.000639366,0.000490972,0.000385027,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,gas,electricity,mining energy use,CO2,MTCO2e,0.746107515,0.780707413,1.097209242,1.157862079,0.851122444,0.4571116,0.239258376,0.133259181,0.092431679,0.062213885,0.046499001,0.034672204,0.024759213,0.018551093,0.012908613,0.009505529,0.006993277,0.005497813,0.004519497,0.003789754,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,gas,electricity,Passenger Rail,CO2,MTCO2e,0.159206666,0.167261292,0.339103475,0.351681902,0.249464258,0.112557521,0.040799378,0.017871667,0.010154016,0.005811944,0.004049785,0.00287357,0.001977026,0.00144477,0.000982443,0.000709666,0.000514423,0.0004004,0.000327298,0.000274782,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,gas,electricity,resid cooling,CO2,MTCO2e,10.33162585,11.98980262,17.31377905,18.3307633,12.88836434,5.883698321,2.547947147,1.278612464,0.823538038,0.516576941,0.365043871,0.257523266,0.173415437,0.121251997,0.07965568,0.055445487,0.038604432,0.028515041,0.021785698,0.01721244,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,gas,electricity,resid others,CO2,MTCO2e,15.56184477,18.05951362,26.07861165,31.21342321,28.92709036,17.77968268,9.28293084,5.298365936,3.739870762,2.542572793,1.910507763,1.43119151,1.023656368,0.760296126,0.530837048,0.392932668,0.290565134,0.228000699,0.185442901,0.154153146,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,oil,electricity,agricultural energy use,CO2,MTCO2e,1.750400794,1.878408198,2.387013031,1.855366835,1.049758463,0.501833572,0.285533339,0.168601503,0.109304734,0.070809491,0.047771409,0.033763503,0.023784876,0.019565798,0.016336264,0.014922784,0.011002422,0.008609503,0.006943787,0.00593383,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,oil,electricity,aluminum,CO2,MTCO2e,0.65804635,0.52885377,0.710304181,0.579869259,0.356879735,0.157948334,0.080284261,0.044901508,0.027610233,0.016928795,0.011060412,0.007666329,0.005315478,0.004311716,0.003532645,0.003173257,0.002307636,0.00178848,0.001434054,0.001223876,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,oil,electricity,cement,CO2,MTCO2e,1.528935809,1.805242695,1.866503883,1.365649162,0.612101295,0.228610442,0.108049876,0.056374504,0.031867352,0.01811461,0.011347174,0.007600957,0.005156765,0.004147476,0.003395883,0.003047141,0.002213259,0.001716123,0.001378072,0.001178876,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,oil,electricity,chemical energy use,CO2,MTCO2e,0.340459278,0.471949357,0.456606177,0.354066019,0.206774534,0.084637299,0.040089949,0.021127182,0.012338415,0.007288206,0.004503827,0.002942833,0.001915678,0.001470711,0.001152113,0.000993583,0.000694522,0.000518009,0.000399666,0.000328262,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,oil,electricity,comm cooling,CO2,MTCO2e,0.953677823,1.31486763,1.757894522,1.582239248,0.89700178,0.442664265,0.250338971,0.155957666,0.10596191,0.070675564,0.048965036,0.034912819,0.024382791,0.019399484,0.015717454,0.013848816,0.009820194,0.007313584,0.00555955,0.004528303,,
