"","scenario","region","direct","transformation","enduse","year","value","ghg","Units"
"81","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","industrial energy use",2070,-0.2979003,"CO2","MTCO2e"
"82","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","iron and steel",2070,-0.1505027,"CO2","MTCO2e"
"83","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Large Car and Truck",2070,-0.004216555,"CO2","MTCO2e"
"84","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Mini Car",2070,-1.149398e-05,"CO2","MTCO2e"
"85","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","mining energy use",2070,-0.00035803,"CO2","MTCO2e"
"86","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","agricultural energy use",2075,-0.0004339721,"CO2","MTCO2e"
"87","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Car",2075,-0.0001409138,"CO2","MTCO2e"
"88","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","construction",2075,-0.0002400512,"CO2","MTCO2e"
"89","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","industrial energy use",2075,-0.1965444,"CO2","MTCO2e"
"90","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","iron and steel",2075,-0.1016037,"CO2","MTCO2e"
"91","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Large Car and Truck",2075,-0.002893473,"CO2","MTCO2e"
"92","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Mini Car",2075,-7.368322e-06,"CO2","MTCO2e"
"93","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","mining energy use",2075,-0.0002435542,"CO2","MTCO2e"
"94","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","agricultural energy use",2080,-0.0002459942,"CO2","MTCO2e"
"95","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Car",2080,-7.26209e-05,"CO2","MTCO2e"
"96","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","construction",2080,-0.000119132,"CO2","MTCO2e"
"97","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","industrial energy use",2080,-0.1038552,"CO2","MTCO2e"
"98","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","iron and steel",2080,-0.05360196,"CO2","MTCO2e"
"99","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Large Car and Truck",2080,-0.001572948,"CO2","MTCO2e"
"100","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Mini Car",2080,-3.757461e-06,"CO2","MTCO2e"
"101","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","mining energy use",2080,-0.0001322377,"CO2","MTCO2e"
